id;Startdatum;Starttid;Slutdatum;Sluttid;Aktivitet;Grupp;Tillfälleskod/kurskod;Lokal;LAT;LONG;Info;Personal;Program/klass
201808271600IS1500;2018-08-27;16:00;2018-08-27;18:00;Föreläsning;;IS1500;M1;59.3536111111111;18.0652777777778;;David Broman;"CDATE2, CLGYM2-TIKT"
201808291200DD1390;2018-08-29;12:00;2018-08-29;13:00;Föreläsning;;"DD1390, DD1391";Q1;59.3502777777778;18.0666666666667;;Viggo Kann;CDATE2
201808291300IS1500;2018-08-29;13:00;2018-08-29;15:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201808300800IS1500;2018-08-30;08:00;2018-08-30;10:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201808301000DD1368;2018-08-30;10:00;2018-08-30;12:00;Föreläsning;DD1368 Helklass;DD1368;FR4;59.3538888888889;18.0583333333333;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201808301300ME1010;2018-08-30;13:00;2018-08-30;15:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;Maria Lindhagen;CDATE2
201808311000ME1010;2018-08-31;10:00;2018-08-31;12:00;Föreläsning;;ME1010;E1;59.3469444444444;18.0730555555556;;Maria Lindhagen;CDATE2
201809031500ME1010;2018-09-03;15:00;2018-09-03;17:00;Föreläsning;;ME1010;E1;59.3469444444444;18.0730555555556;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809041300DD1368;2018-09-04;13:00;2018-09-04;15:00;Föreläsning;DD1368 Helklass;DD1368;FR4;59.3538888888889;18.0583333333333;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201809051500DD1351;2018-09-05;15:00;2018-09-05;17:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201809060800DD1351;2018-09-06;08:00;2018-09-06;10:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201809061500IS1500;2018-09-06;15:00;2018-09-06;17:00;Föreläsning;;IS1500;D1;59.3466666666667;18.0738888888889;;David Broman;"CDATE2, CLGYM2-TIKT"
201809071000DD1368;2018-09-07;10:00;2018-09-07;12:00;Föreläsning;DD1368 Helklass;DD1368;FR4;59.3538888888889;18.0583333333333;;Dena Hussain;CDATE2
201809071300ME1010;2018-09-07;13:00;2018-09-07;15:00;Föreläsning;;ME1010;E1;59.3469444444444;18.0730555555556;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809101000DD1368;2018-09-10;10:00;2018-09-10;12:00;Föreläsning;DD1368 Helklass;DD1368;FR4;59.3538888888889;18.0583333333333;;Dena Hussain;CDATE2
201809101300ME1010;2018-09-10;13:00;2018-09-10;15:00;Föreläsning;;ME1010;D1;59.3466666666667;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809110800DD1351;2018-09-11;08:00;2018-09-11;10:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201809111000DD1368;2018-09-11;10:00;2018-09-11;12:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201809121500DD1351;2018-09-12;15:00;2018-09-12;17:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Alf Thomas Sjöland;"CDATE2, CINTE2, CINTE3"
201809141300ME1010;2018-09-14;13:00;2018-09-14;15:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809170800DD1351;2018-09-17;08:00;2018-09-17;10:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Alf Thomas Sjöland;"CDATE2, CINTE2, CINTE3"
201809171500ME1010;2018-09-17;15:00;2018-09-17;17:00;Föreläsning;;ME1010;E1;59.3469444444444;18.0730555555556;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809181000DD1351;2018-09-18;10:00;2018-09-18;12:00;Föreläsning;DD1351 Helklass;DD1351;M1;59.3536111111111;18.0652777777778;;Alf Thomas Sjöland;"CDATE2, CINTE2, CINTE3"
201809181300DD1368;2018-09-18;13:00;2018-09-18;15:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;CDATE2
201809240800DD1351;2018-09-24;08:00;2018-09-24;10:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Alf Thomas Sjöland;"CDATE2, CINTE2, CINTE3"
201809241000ME1010;2018-09-24;10:00;2018-09-24;12:00;Föreläsning;;ME1010;E1;59.3469444444444;18.0730555555556;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809241300IS1500;2018-09-24;13:00;2018-09-24;15:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201809251000IS1500;2018-09-25;10:00;2018-09-25;12:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201809261300ME1010;2018-09-26;13:00;2018-09-26;15:00;Föreläsning;;ME1010;M1;59.3536111111111;18.0652777777778;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201809261500DD1368;2018-09-26;15:00;2018-09-26;17:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201809281500DD1368;2018-09-28;15:00;2018-09-28;17:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201810011500IS1500;2018-10-01;15:00;2018-10-01;17:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201810021300DD1351;2018-10-02;13:00;2018-10-02;15:00;Föreläsning;DD1351 Helklass;DD1351;D1;59.3466666666667;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201810021500ME1010;2018-10-02;15:00;2018-10-02;17:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201810041500DD1368;2018-10-04;15:00;2018-10-04;17:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;"CDATE2, CLGYM3-TIKT"
201810051300DD1351;2018-10-05;13:00;2018-10-05;15:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201810091000IS1500;2018-10-09;10:00;2018-10-09;12:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201810091300ME1010;2018-10-09;13:00;2018-10-09;15:00;Föreläsning;;ME1010;FR4;59.3538888888889;18.0583333333333;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201810111300IS1500;2018-10-11;13:00;2018-10-11;15:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201810291200DD1390;2018-10-29;12:00;2018-10-29;13:00;Information;;"DD1390, DD1391";D1;59.3466666666667;18.0738888888889;;Viggo Kann;CDATE2
201810291500IS1500;2018-10-29;15:00;2018-10-29;17:00;Föreläsning;;IS1500;F2;59.3483333333333;18.0738888888889;;David Broman;"CDATE2, CLGYM2-TIKT"
201810301000DD1351;2018-10-30;10:00;2018-10-30;12:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201810301300DD1368;2018-10-30;13:00;2018-10-30;15:00;Föreläsning;DD1368 Helklass;DD1368;M1;59.3536111111111;18.0652777777778;;Dena Hussain;CDATE2
201811010800DD1351;2018-11-01;08:00;2018-11-01;10:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811011500ME1010;2018-11-01;15:00;2018-11-01;17:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811050800DD1351;2018-11-05;08:00;2018-11-05;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811051300DD1368;2018-11-05;13:00;2018-11-05;15:00;Föreläsning;DD1368 Helklass;DD1368;Q1;59.3502777777778;18.0666666666667;;Dena Hussain;CDATE2
201811121300DD1351;2018-11-12;13:00;2018-11-12;15:00;Föreläsning;DD1351 Helklass;DD1351;M1;59.3536111111111;18.0652777777778;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811131000DD1351;2018-11-13;10:00;2018-11-13;12:00;Föreläsning;DD1351 Helklass;DD1351;D1;59.3466666666667;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811151300ME1010;2018-11-15;13:00;2018-11-15;15:00;Föreläsning;;ME1010;Q1;59.3502777777778;18.0666666666667;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811201000DD1351;2018-11-20;10:00;2018-11-20;12:00;Föreläsning;DD1351 Helklass;DD1351;D1;59.3466666666667;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811221500IS1500;2018-11-22;15:00;2018-11-22;17:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201811230800IS1500;2018-11-23;08:00;2018-11-23;10:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201811231000DD1351;2018-11-23;10:00;2018-11-23;12:00;Föreläsning;DD1351 Helklass;DD1351;Q1;59.3502777777778;18.0666666666667;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811231300ME1010;2018-11-23;13:00;2018-11-23;15:00;Föreläsning;;ME1010;Q1;59.3502777777778;18.0666666666667;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201811260800DD1393;2018-11-26;08:00;2018-11-26;10:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201811270800DD1351;2018-11-27;08:00;2018-11-27;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201811291500DD1393;2018-11-29;15:00;2018-11-29;17:00;Föreläsning;;DD1393;E1;59.3469444444444;18.0730555555556;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812030800DD1351;2018-12-03;08:00;2018-12-03;10:00;Föreläsning;DD1351 Helklass;DD1351;E1;59.3469444444444;18.0730555555556;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201812040800DD1351;2018-12-04;08:00;2018-12-04;10:00;Föreläsning;DD1351 Helklass;DD1351;F2;59.3483333333333;18.0738888888889;;Johan Karlander;"CDATE2, CINTE2, CINTE3"
201812041500DD1393;2018-12-04;15:00;2018-12-04;17:00;Föreläsning;;DD1393;E1;59.3469444444444;18.0730555555556;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812061300ME1010;2018-12-06;13:00;2018-12-06;15:00;Föreläsning;;ME1010;D1;59.3466666666667;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201812061500DD1393;2018-12-06;15:00;2018-12-06;17:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812100800IS1500;2018-12-10;08:00;2018-12-10;10:00;Föreläsning;;IS1500;Q1;59.3502777777778;18.0666666666667;;David Broman;"CDATE2, CLGYM2-TIKT"
201812111300ME1010;2018-12-11;13:00;2018-12-11;15:00;Föreläsning;;ME1010;F2;59.3483333333333;18.0738888888889;;"Gisela Bäcklander, Maria Lindhagen";CDATE2
201812111500DD1393;2018-12-11;15:00;2018-12-11;17:00;Föreläsning;;DD1393;D1;59.3466666666667;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201812131300DD1393;2018-12-13;13:00;2018-12-13;15:00;Föreläsning;;DD1393;F2;59.3483333333333;18.0738888888889;;"Björn Thuresson, Dena Hussain";"CDATE2, CLGYM3-TIKT"
201901141000SF1626;2019-01-14;10:00;2019-01-14;12:00;Föreläsning;;SF1626;Q1;59.3502777777778;18.0666666666667;;Roy Skjelnes;"CDATE2, CMAST1, CMETE2"
